어린이집명,어린이집유,보육교사_1인당_아동수,충족률,어린이집개수
구립 푸른별어린이집,국공립,1.666666667,1,9
구립 푸른솔어린이집,국공립,2.25,0.947368421,5
구립 피노키오어린이집,국공립,2.5,0.520833333,12
구립 하나로어린이집,국공립,2.222222222,1,8
구립 하늘마음어린이집,국공립,2.733333333,0.803921569,9
구립 하늘숲어린이집,국공립,4.733333333,0.855421687,5
구립 한빛어린이집,국공립,3.703703704,0.757575758,7
구립 한숲어린이집,국공립,2,0.8,8
구립 해담어린이집,국공립,4.2,0.863013699,12
구립 해뜰어린이집,국공립,2.307692308,0.857142857,8
구립공항어린이집,국공립,3.421052632,0.625,5
구립대우주어린이집,국공립,2,1,7
구립볏고을어린이집,국공립,5,0.755813953,4
국공립 가양 7 어린이집,국공립,3.846153846,0.632911392,6
굿모닝어린이집,가정,2.857142857,1,14
귀염이어린이집,가정,2.222222222,1,2
근로복지공단 강서어린이집,법인?단체등,3.653846154,0.833333333,11
근로복지공단 곰달래어린이집,법인?단체등,3.210526316,0.871428571,7
근로복지공단 등촌어린이집,법인?단체등,2.666666667,0.547945205,8
까꿍어린이집,가정,1.333333333,0.333333333,9
까치산어린이집,국공립,6,0.911392405,12
꼬마궁어린이집,가정,2,0.857142857,9
꼬마별어린이집,가정,1.857142857,0.684210526,16
꼬마숲어린이집,민간,4.1,1,12
꼬모어린이집,가정,2.5,1,7
꿈꾸는어린이집,민간,3.375,0.574468085,8
꿈나무어린이집,가정,2.142857143,0.789473684,14
꿈땅어린이집,가정,2,0.421052632,9
꿈비어린이집,민간,2.75,0.488888889,12
꿈사랑어린이집,가정,2.333333333,0.736842105,13
꿈을여는어린이집,민간,4.05,0.818181818,8
꿈이있는어린이집,가정,2,0.736842105,7
꿈초롱어린이집,가정,2.166666667,1,7
나래어린이집,국공립,2.916666667,0.921052632,13
나무와숲어린이집,가정,2.5,1,11
나무와열매어린이집,민간,3.95,0.797979798,11
늘푸른어린이집,민간,4.25,0.871794872,9
늘품어린이집,민간,2.5,0.384615385,12
다니엘어린이집,가정,2,0.3,9
다해영재어린이집,민간,4.214285714,0.842857143,11
단꿈어린이집,가정,2.714285714,0.95,3
단비어린이집,국공립,2.888888889,0.764705882,3
단이슬어린이집,국공립,4.125,0.985074627,6
단향어린이집,가정,1.142857143,0.571428571,11
달님별님어린이집,가정,2.375,0.95,8
대림어린이집,가정,2.166666667,0.65,12
더조은영재어린이집,가정,3.333333333,1,14
도담어린이집,가정,2.714285714,0.95,13
도토리어린이집,가정,2.5,0.75,8
동광어린이집,가정,2.666666667,0.8,8
동그라미어린이집,가정,2.6,0.65,12
동글동글어린이집,가정,1.833333333,0.916666667,10
동부해맑은어린이집,가정,3,0.947368421,4
동산어린이집,민간,7.090909091,0.590909091,8
동성스마일어린이집,가정,3,0.9,12
동성어린이집,민간,4.533333333,0.871794872,11
동아어린이집,가정,2.5,1,5
동화나라어린이집,가정,2.4,0.6,13
두빛나래터발도르프어린이집,협동,2.8,0.933333333,5
둥근마음어린이집,국공립,4,0.488549618,8
드림어린이집,국공립,2.375,0.387755102,8
등촌제일어린이집,가정,3.25,0.722222222,8
디앤오 강서어린이집,직장,1.166666667,0.194444444,4
딸기어린이집,가정,2.142857143,0.75,10
또래방어린이집,가정,2.571428571,0.9,11
뚜띠어린이집,가정,1.714285714,1,8
라임어린이집,가정,3.166666667,0.95,12
레드로빈어린이집,가정,1,0.15,9
로뎀어린이집,민간,4.857142857,0.591304348,16
롯데어린이집,민간,4.1,0.953488372,9
롯데중앙연구소 mom편한 어린이집,직장,2.1,0.583333333,2
리라어린이집,민간,4.466666667,0.905405405,11
리틀빌리지어린이집,민간,6.368421053,0.96031746,9
리틀킹어린이집,직장,1.75,0.142857143,8
리틀현대아이어린이집,가정,2.375,0.95,10
마곡 이화어린이집,민간,4.117647059,0.886075949,15
마곡 행복한i어린이집,민간,1.75,0.28,9
마곡1 고운비어린이집,국공립,2.5,1,14
