어린이집명,환경지수,접근지수,위험지수,CLUSTER_ID,CLUSTER_SI
포도원어린이집,1.75,0.046736085,0,51,3
푸르미어린이집,1.417,0.017053316,0,59,6
푸른꿈어린이집,2.25,0.022456841,0,38,6
푸른어린이집,2.5,0.032410857,0,32,6
하나린어린이집,1.917,0.028215704,5.091,5,5
하나영재어린이집,2.833,0.028118459,0,4,6
하늘샘어린이집,2.583,0.026655028,0,41,7
하얀돌어린이집,1.083,0.047925461,0,9,7
하얀마음어린이집,2.083,0.019974541,1.131,12,9
하은어린이집,2.083,0.027645197,0,58,3
하하호호어린이집,1.167,0.032150344,0,63,3
한결어린이집,2.417,0.024035258,1.273,41,7
한마음 어린이집,1.667,0.016341754,0,59,6
한울어린이집,3,0.025255641,0,60,7
해바라기어린이집,1.25,0.02588653,8.3,36,5
해송어린이집,2.167,0.016062385,3.394,48,5
해아띠스쿨어린이집,2.5,0.02415869,2.262,12,9
해울어린이집,2.25,0.018900401,0,16,4
해피랜드어린이집,1.917,0.018286091,0,47,6
해피엔젤어린이집,2.167,0.026465239,2.262,12,9
현대i어린이집,2.5,0.043141845,2.121,44,5
현대어린이집,1.417,0.020888521,0,31,6
현대키즈어린이집,1.417,0.022454914,0,1,6
혜시의사과나무어린이집,2.5,0.029390037,3.819,41,7
홈플러스어린이집,3.083,0.026783279,0,4,6
화곡꼬마천사어린이집,2.583,0.019531977,0,46,3
화곡어린이집,2.5,0.022491399,2.262,43,4
고은쁘띠에꼴어린이집,1.167,0.036492793,0,소담,4
구립 가양 어린이집,1.25,0.051446244,0,소담,4
구립 한빛어린이집,2.083,0.036458978,1.414,강서화곡,4
귀염이어린이집,1.25,0.055881832,0,소담,4
꿈을여는어린이집,1.75,0.035038056,0,강서화곡,4
딸기어린이집,1.667,0.016903633,0,마곡단지내,3
마곡10 별솔어린이집,2,0.019644524,0,다함께,4
마곡11 나무햇살어린이집,1.917,0.018332319,0,다함께,4
마곡12 온새미어린이집,1.917,0.020114504,0,다함께,4
마곡14 아이마당어린이집,2.083,0.025657737,0,마곡단지내,3
소라어린이집,2,0.024590121,15.795,강서화곡,4
아기천사어린이집,1.25,0.023304531,0.707,강서화곡,4
아이세상어린이집,1.167,0.041038645,0,소담,4
해오름어린이집,1.833,0.019724876,0,마곡단지내,3
행복한어린이집,2,0.017602285,0,다함께,4
