시군구명,어린이집명,어린이집유형,상세주소,보육실수,보육실 면,보육교직원,정원,현원,시설 위도(,시설 경도(,서울형어린,환경지수,접근지수,위험지수,평가등급,서울형 or 국공립
강서구,구립 밤비어린이집,국공립,서울특별시 강서구 공항대로45길 68-6 106동 104호(등촌동 등촌서광마을아파트),3,60,8,20,20,37.55775519,126.8576971,0,2.75,0.022367801,0,1,1
강서구,구립 보솜어린이집,국공립,서울특별시 강서구 공항대로43길 39 1106동 1층 6호,4,96,10,28,23,37.55924761,126.8496331,0,2.667,0.024251473,0,1,1
강서구,구립 뽄다어린이집,국공립,서울특별시 강서구 강서로17라길 7-8 (화곡동),4,68,10,20,20,37.53285642,126.840338,0,2.333,0.023647232,2.766,0,1
강서구,구립 새하늘어린이집,국공립,서울특별시 강서구 강서로17다길 15-14,7,245,15,92,87,37.53329711,126.8414119,0,2.417,0.027095091,0,1,1
강서구,구립 샛별어린이집,국공립,서울특별시 강서구 초록마을로 166,3,106,9,19,18,37.53633516,126.8460868,0,2.25,0.021192204,0,1,1
강서구,구립 소은어린이집,국공립,서울특별시 강서구 양천로67길 77 104동 101호(염창동 우성1차아파트),3,53,8,19,19,37.55617616,126.8714367,0,1.083,0.017388893,0,1,1
강서구,구립 스마일어린이집,국공립,서울특별시 강서구 강서로 266 114동 103호(화곡동 우장산아이파크 이편한세상),3,85,7,20,20,37.55044129,126.8367641,0,2.417,0.025238791,0,1,1
강서구,구립 신태양어린이집,국공립,서울특별시 강서구 곰달래로31다길 25,7,306,16,99,79,37.53363601,126.8526347,0,2.333,0.027910635,15.372,0,1
강서구,구립 아기별어린이집,국공립,서울특별시 강서구 강서로 348 108동 101호(내발산동 우장산힐스테이트),3,60,7,20,20,37.55649444,126.8389125,0,2.667,0.031315492,2.121,1,1
강서구,구립 아이나무어린이집,국공립,서울특별시 강서구 화곡로13가길 5,5,130,12,48,44,37.54136832,126.833593,0,2.167,0.030562157,0,1,1
강서구,구립 아이솔 어린이집,국공립,서울특별시 강서구 개화동로27길 13 (방화동),6,180,12,71,48,37.56444575,126.8073559,0,1.833,0.046603473,0,1,1
강서구,구립 아이편한어린이집,국공립,서울특별시 강서구 공항대로 583 염창동 e편한세상 염창아파트 관리동,6,262,15,65,55,37.54936148,126.8706025,0,1.583,0.023365397,0,1,1
강서구,구립 엔젤아이어린이집,국공립,서울특별시 강서구 양천로 507 106동 104호,3,47,7,16,16,37.56088267,126.8566782,0,2.75,0.027057977,0,1,1
